"T","T_star","f","h","Points:0","Points:1","Points:2"
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,4.70000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,4.80000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,4.90000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,5.00000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,5.10000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,5.20000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,5.30000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,5.40000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,5.50000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,5.60000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,5.70000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,5.80000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,5.90000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,6.00000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,6.10000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,6.20000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,6.30000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,6.40000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,6.50000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,6.60000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,6.70000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,6.80000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,6.90000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,7.00000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,7.10000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,7.20000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,7.30000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,7.40000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,7.50000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,7.60000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,7.70000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,7.80000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,7.90000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,8.00000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,8.10000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,8.20000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,8.30000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,8.40000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,8.50000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,8.60000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,8.70000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,8.80000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,8.90000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,9.00000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,9.10000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,9.20000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,9.30000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,9.40000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,9.50000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,9.60000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,9.70000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,9.80000e-02,0.00000e+00,0.00000e+00
2.60000e+02,-1.31500e+01,0.00000e+00,-2.68260e+04,9.90000e-02,0.00000e+00,0.00000e+00
2.76575e+02,3.42500e+00,5.00000e-01,1.95447e+05,1.00000e-01,0.00000e+00,0.00000e+00
2.93150e+02,2.00000e+01,1.00000e+00,4.17720e+05,0.00000e+00,1.00000e-03,0.00000e+00
2.76123e+02,2.97320e+00,7.50000e-01,2.66145e+05,1.00000e-03,1.00000e-03,0.00000e+00
2.69143e+02,-4.00717e+00,2.50000e-01,7.66136e+04,2.00000e-03,1.00000e-03,0.00000e+00
2.65807e+02,-7.34336e+00,1.30019e-15,-1.49805e+04,3.00000e-03,1.00000e-03,0.00000e+00
2.64055e+02,-9.09476e+00,8.74298e-29,-1.85533e+04,4.00000e-03,1.00000e-03,0.00000e+00
2.63005e+02,-1.01447e+01,9.90987e-37,-2.06953e+04,5.00000e-03,1.00000e-03,0.00000e+00
2.62318e+02,-1.08318e+01,6.73044e-42,-2.20968e+04,6.00000e-03,1.00000e-03,0.00000e+00
2.61840e+02,-1.13099e+01,1.40130e-45,-2.30722e+04,7.00000e-03,1.00000e-03,0.00000e+00
2.61492e+02,-1.16587e+01,0.00000e+00,-2.37836e+04,8.00000e-03,1.00000e-03,0.00000e+00
2.61228e+02,-1.19226e+01,0.00000e+00,-2.43219e+04,9.00000e-03,1.00000e-03,0.00000e+00
2.61021e+02,-1.21282e+01,0.00000e+00,-2.47416e+04,1.00000e-02,1.00000e-03,0.00000e+00
2.60857e+02,-1.22924e+01,0.00000e+00,-2.50765e+04,1.10000e-02,1.00000e-03,0.00000e+00
2.60724e+02,-1.24260e+01,0.00000e+00,-2.53490e+04,1.20000e-02,1.00000e-03,0.00000e+00
2.60614e+02,-1.25364e+01,0.00000e+00,-2.55742e+04,1.30000e-02,1.00000e-03,0.00000e+00
2.60521e+02,-1.26286e+01,0.00000e+00,-2.57624e+04,1.40000e-02,1.00000e-03,0.00000e+00
2.60444e+02,-1.27065e+01,0.00000e+00,-2.59213e+04,1.50000e-02,1.00000e-03,0.00000e+00
